title
Multiple Reaction Coordinates:
eV, 6
0, C1 + N2O, TS1, H
1, C2 + N2O, TS1, H
2, C3 + N2O, TS1, H
3, C4 + N2O, TS1, H
4, C5 + N2O, TS1, H
5, C6 + N2O, TS1, H
Energy:
6
6r S cis,  2.3316633276710945, 3.117109782349189, 1.909653646808124
8r S cis,  1.7027132030045777, 2.58464339834984, 1.4323263137166578
6r S trans, 2.371328506558939, 2.941555416772758, 2.3364897764030275
8r S trans, 1.66962402419324, 2.4998863719902147, 1.8793629176010427
6r S nit,   2.3316633276710945, 3.085616737491705, 2.636143145561846
8r S nit,  1.783128739013705, 2.588878254764836, 2.130529145979608
